symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,2/20/2002,0.4533,0.4271,0.4402,7053,2025,9078,25739,22042,
AA,2/20/2002,0.3323,0.3352,0.3338,5255,4194,9449,42031,26810,
AAI,2/20/2002,0.6148,0.7332,0.6740,97,0,97,5737,446,
AAPL,2/20/2002,0.5067,0.4788,0.4928,3651,1655,5306,122901,64786,
ABF,2/20/2002,0.3921,0.3882,0.3902,19,5,24,2129,1275,
ABGX,2/20/2002,0.8730,0.8614,0.8672,65,11,76,5075,5113,
ABI,2/20/2002,0.6178,0.6120,0.6149,752,176,928,19326,5751,
ABK,2/20/2002,0.2959,0.2343,0.2651,72,217,289,578,1245,
ABMD,2/20/2002,0.7512,0.7026,0.7269,258,210,468,3449,2289,
ABN,2/20/2002,0.2970,0.2461,0.2716,2,0,2,712,2182,
ABS,2/20/2002,0.3050,0.2922,0.2986,106,421,527,7314,8141,
ABT,2/20/2002,0.1950,0.1996,0.1973,1060,446,1506,79640,36914,
ABX,2/20/2002,0.3992,0.3996,0.3994,911,2004,2915,62388,30081,
ABY,2/20/2002,0.3120,0.3120,0.3120,0,0,0,701,331,
AC,2/20/2002,0.3249,0.3105,0.3177,86,62,148,5779,5139,
ACAI,2/20/2002,0.5128,0.5117,0.5123,0,0,0,382,228,
ACAS,2/20/2002,0.3964,0.2233,0.3098,136,53,189,1284,718,
ACDO,2/20/2002,0.4856,0.4985,0.4920,154,0,154,1646,1207,
ACF,2/20/2002,0.9008,0.9054,0.9031,2001,1141,3142,20182,30681,
ACI,2/20/2002,0.4699,0.4647,0.4673,55,83,138,1095,541,
ACLA,2/20/2002,0.4583,0.5409,0.4996,20,0,20,344,83,
ACLS,2/20/2002,0.6664,0.7572,0.7118,23,5,28,2034,1667,
ACPW,2/20/2002,0.5878,0.6378,0.6128,0,0,0,1727,2056,
ACRI,2/20/2002,0.6563,0.9965,0.8264,0,90,90,653,338,
ACS,2/20/2002,0.4235,0.4210,0.4222,198,1468,1666,8820,6767,
ACTL,2/20/2002,0.5036,0.4466,0.4751,0,20,20,576,1388,
ACTR,2/20/2002,1.3435,1.3828,1.3632,0,0,0,1233,438,
ACTU,2/20/2002,0.7318,0.7318,0.7318,5,0,5,454,914,
ACXM,2/20/2002,0.6693,0.6585,0.6639,28,15,43,1253,3166,
ADBE,2/20/2002,0.5203,0.5033,0.5118,702,364,1066,36072,18723,
ADCT,2/20/2002,0.8083,0.7579,0.7831,1760,176,1936,70854,14363,
ADI,2/20/2002,0.6168,0.5990,0.6079,4043,1764,5807,55097,30151,
ADIC,2/20/2002,0.6336,0.6182,0.6259,130,25,155,4599,1702,
ADLAC,2/20/2002,0.8552,0.8293,0.8422,1102,1795,2897,28459,18142,
ADM,2/20/2002,0.3072,0.1974,0.2523,45,0,45,6579,3579,
ADP,2/20/2002,0.2621,0.2416,0.2518,662,20,682,15315,7853,
ADPT,2/20/2002,0.6378,0.6459,0.6418,748,8,756,9233,2861,
ADRX,2/20/2002,0.7731,0.7642,0.7687,3709,378,4087,29491,21253,
ADSK,2/20/2002,0.4869,0.4524,0.4696,85,151,236,2502,398,
ADTK,2/20/2002,0.0000,0.0000,0.0000,0,0,0,189,134,
ADTN,2/20/2002,0.5524,0.5094,0.5309,51,10,61,1512,211,
ADVNA,2/20/2002,0.3796,0.3735,0.3766,0,0,0,387,63,
ADVNB,2/20/2002,0.5718,0.5811,0.5764,0,0,0,168,110,
ADVP,2/20/2002,0.4417,0.4289,0.4353,1907,484,2391,13049,5375,
ADVS,2/20/2002,0.5323,0.5340,0.5332,21,26,47,700,460,
AEE,2/20/2002,0.1372,0.2595,0.1984,0,0,0,1229,544,
AEG,2/20/2002,0.3459,0.3356,0.3408,16,4,20,1946,775,
AEIS,2/20/2002,0.7068,0.6868,0.6968,12,10,22,1241,2044,
AEM,2/20/2002,0.4942,0.5527,0.5234,304,27,331,12083,4445,
AEOS,2/20/2002,0.6064,0.5953,0.6009,205,34,239,2705,4728,
AEP,2/20/2002,0.1725,0.1698,0.1712,44,143,187,2189,2002,
AES,2/20/2002,1.4316,1.6548,1.5432,2254,2183,4437,44922,28198,
AET,2/20/2002,0.4949,0.4639,0.4794,446,2091,2537,55156,34118,
AETH,2/20/2002,0.9128,0.9128,0.9128,206,165,371,6565,4250,
AFC,2/20/2002,0.3263,0.3275,0.3269,320,478,798,363,169,
AFCI,2/20/2002,0.6401,0.5947,0.6174,303,64,367,9749,7543,
AFFX,2/20/2002,0.9158,0.8700,0.8929,2307,81,2388,10810,4480,
AFG,2/20/2002,0.3322,0.3462,0.3392,11,0,11,922,218,
AFL,2/20/2002,0.2806,0.2934,0.2870,1475,2275,3750,8068,3983,
AG,2/20/2002,0.4809,0.4737,0.4773,66,50,116,660,457,
AGE,2/20/2002,0.3420,0.3705,0.3562,861,114,975,10483,5219,
AGIL,2/20/2002,0.9723,0.9193,0.9458,4,259,263,2388,1498,
AGN,2/20/2002,0.3826,0.3747,0.3786,65,63,128,10062,4415,
AGU,2/20/2002,0.3019,0.3197,0.3108,0,0,0,25,3154,
AGY,2/20/2002,0.4979,0.5037,0.5008,88,26,114,3593,3117,
AH,2/20/2002,0.4829,0.5185,0.5007,102,0,102,2656,1118,
AHAA,2/20/2002,1.0183,0.9070,0.9626,201,314,515,1249,2520,
AHC,2/20/2002,0.3104,0.2953,0.3028,172,10,182,10473,5754,
AHG,2/20/2002,0.4665,0.4534,0.4600,36,10,46,1717,4282,
AHO,2/20/2002,0.3016,0.2519,0.2768,1,5,6,502,678,
